id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
75590,Amazing nature location by a lake,397766,Peter,,Skarpnäcks,59.30117,18.12833,Entire home/apt,949,30,10,2016-07-08,0.09,1,178,0,
109193,Live by the ocean,564237,Lennart,,Östermalms,59.3164,18.16112,Entire home/apt,1800,10,31,2022-07-10,0.24,1,0,1,
149587,Modern house 15min from city centre,721536,Teymur,,Rinkeby-Tensta,59.4025,17.98828,Entire home/apt,1966,4,10,2019-08-20,0.08,1,261,0,
164448,Double room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31389,18.06087,Private room,864,3,345,2022-09-13,2.54,2,163,27,
170651,Petit Charm Rooftop next to heaven,814021,Marie,,Södermalms,59.31702,18.02946,Entire home/apt,957,4,41,2022-05-30,0.30,1,223,4,
206221,Doubleroom at Södermalm &trendySofo,1022374,Elisabeth,,Södermalms,59.31074,18.08128,Shared room,669,3,79,2019-12-08,0.60,1,266,0,
220851,One room in appartement,412283,Fredric,,Kungsholmens,59.33351,18.03693,Private room,700,3,58,2022-07-01,0.43,1,315,8,
227940,Tantra house Stockholm 2 jaccuzzis,1189021,Kent,,Skarpnäcks,59.23193,18.20425,Private room,6950,1,0,,,2,365,0,
238411,Cozy apartment in central Stockholm,1250232,Mia,,Norrmalms,59.33872,18.05131,Entire home/apt,1344,1,111,2016-12-13,0.84,1,52,0,
242188,Single room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31198,18.06076,Private room,764,2,345,2022-09-20,2.67,2,169,29,
273906,Penthouse in central Stockholm,1432722,Rodrigo,,Södermalms,59.30543,18.10771,Entire home/apt,2799,6,8,2018-07-07,0.06,1,266,0,
299154,Cosy apartment central at Sodermalm,1541953,Daniel,,Södermalms,59.31846,18.07042,Entire home/apt,895,2,571,2022-09-14,5.06,1,119,25,
301680,one cosy double room for rent,1554143,Anitta,,Älvsjö,59.27635,17.99165,Private room,750,1,36,2022-04-29,0.29,2,365,1,
302496,"Spacious, bright, unique apartment",1557657,Seta,,Norrmalms,59.34685,18.06056,Entire home/apt,3000,5,81,2022-08-27,0.65,1,293,11,
313763,Excellent location in the city center,1533849,Martin P.,,Norrmalms,59.34283,18.0493,Private room,430,3,51,2019-09-26,0.41,1,0,0,
385701,"Terrace house in Stockholm, Farsta",1930434,Alex,,Farsta,59.25094,18.09676,Entire home/apt,1200,7,8,2022-08-05,0.09,1,0,1,
438129,Bunk bed close by Alvsjo Exhibition,914316,Ea,,Enskede-Årsta-Vantörs,59.26424,18.02277,Private room,350,1,24,2022-07-02,0.19,2,297,2,
442837,Modern single room in Stockholm with Wi-fi,2200827,Jo,,Hägersten-Liljeholmens,59.31059,18.02369,Private room,571,2,97,2022-07-24,0.77,1,4,1,
445370,Lägenhet 1 rum egen ingång från gatan.,721314,Petri,,Skärholmens,59.27287,17.93311,Entire home/apt,351,7,23,2022-08-24,0.28,1,250,5,
451155,Spacious house in Stockholm,2240860,Malin,,Enskede-Årsta-Vantörs,59.28003,18.05527,Entire home/apt,1500,3,25,2022-07-24,0.21,1,299,1,
475409,CHARMING 1 Bed Room in City Center (share),2356697,Cor,,Södermalms,59.31412,18.08274,Private room,498,3,44,2017-06-29,0.35,1,0,0,
478105,• ARTISTIC PENTHOUSE NEAR CITY CENTER,1756346,Christian,,Hägersten-Liljeholmens,59.30177,17.99189,Entire home/apt,1190,6,31,2018-11-24,0.27,1,278,0,
516997,High privacy 10 min from Stockholm,2544008,Helena And Björn,,Östermalms,59.37656,18.11029,Entire home/apt,2843,7,5,2018-06-22,0.05,1,0,0,
528377,Private bedroom with internet.,2595675,Lilian,,Skarpnäcks,59.25633,18.17523,Private room,224,1,95,2022-08-16,0.77,1,267,29,
533880,Nice room Erik Dahlbergsgatan,2624450,Jarl,,Östermalms,59.34412,18.08957,Private room,601,10,105,2018-08-08,0.84,1,0,0,
